Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
BASE,0.00592056509800301,-0.00193280508551347,0.0189508034278452,0,0,0,25.9401935028288,0.522401597273813,0.000566472003100046,-0.02031841148565,0.860859658940349,0.000100362279187569,1.30319365756996,0,0,0,0,0,0,package://WA1_D11/meshes/BASE.STL,0.737254901960784,0.901960784313726,0.952941176470588,1,0,0,0,0,0,0,package://WA1_D11/meshes/BASE.STL,,EMMA400K简化版-1/___________1.stp-1/716mini____20220215001_1.stp-1;EMMA400K简化版-1/___________1.stp-1/____PCB_1.stp-1;EMMA400K简化版-1/___________1.stp-1/2.1.04.06.00244  _________1.stp-1;EMMA400K简化版-1/___________1.stp-1/3.1.14.03.0006 ______.stp-1;EMMA400K简化版-1/___________1.stp-1/3.3.14.01.00522 _________________1.stp-1;EMMA400K简化版-1/___________1.stp-1/____________Dabai Pro_1.stp-1;EMMA400K简化版-1/___________1.stp-1/3.2.14.03.0007 ________.stp-1;EMMA400K简化版-1/___________1.stp-1/3.1.14.03.00074 ___________1.stp-1;EMMA400K简化版-1/___________1.stp-1/3.2.14.03.00086___________1.stp-1;EMMA400K简化版-1/___________1-1.stp-1/716mini____20220215001_1.stp-1;EMMA400K简化版-1/___________1-1.stp-1/3.1.14.03.0009 ______.stp-1;EMMA400K简化版-1/___________1-1.stp-1/2.1.04.06.00244  _________1.stp-1;EMMA400K简化版-1/___________1-1.stp-1/3.3.14.03.0002 ______.stp-1;EMMA400K简化版-1/___________1-1.stp-1/_______________1.stp-1;EMMA400K简化版-1/_________1-2.stp-1/2.1.01.04.00213 ______ 95AGV15-0001_1.stp-2;EMMA400K简化版-1/_________1-2.stp-1/2.1.01.04.00213 ______ 95AGV15-0001_1.stp-1;EMMA400K简化版-1/_________1-2.stp-1/3.3.14.03.00036 ___________1.stp-1;EMMA400K简化版-1/_________1-2.stp-1/3.2.14.03.00071 _________1______1.stp-1;EMMA400K简化版-1/_________1-4.stp-1/3.2.14.03.00042 _______________1.stp-1;EMMA400K简化版-1/_________1-4.stp-1/3.2.14.03.00044 _____________1.stp-1;EMMA400K简化版-1/_________1-4.stp-1/3.2.14.03.00043 _________1.stp-1;EMMA400K简化版-1/_________1-4.stp-1/3.2.14.03.00041 _____________1.stp-1;EMMA400K简化版-1/_________1-4.stp-1/3.3.14.03.00025 _____1.stp-1;EMMA400K简化版-1/_________1-4.stp-1/3.3.14.03.00025 _____1.stp-2;EMMA400K简化版-1/_________1-4.stp-1/3.3.14.03.00007 _________1.stp-1;EMMA400K简化版-1/_________1-4.stp-1/_________1-5.stp-1;EMMA400K简化版-1/_________1-4.stp-1/3.3.14.03.00033 ___________1.stp-1;EMMA400K简化版-1/_________1-4.stp-1/3.3.14.03.00025 _____1.stp-3;EMMA400K简化版-1/_________1-4.stp-1/3.3.14.03.00025 _____1.stp-4;EMMA400K简化版-1/_________1-4.stp-1/3.3.14.03.00026 5_____________1.stp-1;EMMA400K简化版-1/_________1-4.stp-1/_______1-7.stp-1;EMMA400K简化版-1/_________1-4.stp-1/3.2.14.03.00044 _____________1.stp-2;EMMA400K简化版-1/_________1-4.stp-1/3.2.14.03.00048 _________________1.stp-1;EMMA400K简化版-1/_________1-4.stp-1/3.2.14.03.0005 ________.stp-1;EMMA400K简化版-1/_________1-4.stp-1/3.3.14.02.00027 _________1.stp-2;EMMA400K简化版-1/_________1-4.stp-1/3.3.14.02.00027 _________1.stp-1;EMMA400K简化版-1/_________1-4.stp-1/3.2.14.03.00049 _________1.stp-1;EMMA400K简化版-1/_________1-4.stp-1/______(1)_1.stp-2;EMMA400K简化版-1/_________1-4.stp-1/______(1)_1.stp-1;EMMA400K简化版-1/_________1-4.stp-1/3.2.14.03.00047 _______________1.stp-1;EMMA400K简化版-1/_________1-4.stp-1/3.2.14.03.00081 _____________1.stp-1;EMMA400K简化版-1/_________1-4.stp-1/3.3.14.03.00032 _________1.stp-1;EMMA400K简化版-1/_________1-4.stp-1/3.3.14.03.00038 _______1.stp-2;EMMA400K简化版-1/_________1-4.stp-1/3.3.14.03.00038 _______1.stp-1;EMMA400K简化版-1/_________1-4.stp-1/3.3.14.03.00037 _______1.stp-2;EMMA400K简化版-1/_________1-4.stp-1/3.3.14.03.00037 _______1.stp-1;EMMA400K简化版-1/_________1-4.stp-1/3.3.14.03.00032 _________1.stp-2;EMMA400K简化版-1/2.1.04.08.00012 E2B-S08KN04-WP-C2 2M________0702(1).stp-1;EMMA400K简化版-1/3.3.14.01.00075_________1.stp-1;EMMA400K简化版-1/RX-L-03-01-13 承重板-1;托板-1;RX-L-02-01-29 桌板左支撑板-1;RX-L-02-01-30 桌板右支撑板-1;底座外观实体(C)-1/实体7-1;底座外观实体(C)-1/输入7-1;底座外观实体(C)-1/实体8-1,BASE,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
BODY,0.00347376449346015,4.29528819191338E-05,0.0269981383270411,0,0,0,2.26150784899894,0.0112093270644369,7.04569570690431E-06,0.0001050399704953,0.0089163759777301,8.06861124713034E-06,0.00587422876828238,0,0,0,0,0,0,package://WA1_D11/meshes/BODY.STL,0.890196078431372,0.890196078431372,0.913725490196078,1,0,0,0,0,0,0,package://WA1_D11/meshes/BODY.STL,,RX-L-03-01-01 升降底撑板V2-1;G25关节简化版-1;底座外观实体(C)-1/实体3-1;底座外观实体(C)-1/实体4-1;底座外观实体(C)-1/实体5-1;底座外观实体(C)-1/实体6-1,BODY,Lifting_Z,Lifting_Z,prismatic,0.31,0,0.492,0,0,0,BASE,0,0,1,0,0,0,0.25,,,,,,,,
TORSO,2.414173760934E-05,-0.013228072900614,0.0596889075932307,0,0,0,1.86506525650323,0.00430107504414483,-3.74590336987222E-06,-8.61225273480926E-07,0.00399816644143196,4.89442905024986E-05,0.00437026804692787,0,0,0,0,0,0,package://WA1_D11/meshes/TORSO.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://WA1_D11/meshes/TORSO.STL,,RX-L-03-01-05 腰部关节转接件G-G-2-1;RX-L-03-01-07 腰部G关节T型外壳-1;G25关节简化版-2,TORSO,Waist_Z,Waist_Z,revolute,0,0,0.1561,0,0,0,BODY,0,0,1,0,0,-2.0944,3.2289,,,,,,,,
CHEST,0.00128119626472276,0.00209650911533721,0.351463857372758,0,0,0,3.56126176624429,0.0301529776915883,-0.000127826172415052,0.000206949605034436,0.0217513131858975,-0.00109357729560151,0.0160102487429534,0,0,0,0,0,0,package://WA1_D11/meshes/CHEST.STL,0.866666666666667,0.866666666666667,0.890196078431372,1,0,0,0,0,0,0,package://WA1_D11/meshes/CHEST.STL,,RX-L-02-01-23 调试接口面板-1;D435-1;左肩固定-URDF-1/ZJRX-A-P-L-01-左臂-肩部固定法兰盘.step-1;左肩固定-URDF-1/B关节替换件-1;上半身实体模型-1/上半身实体模型(2)^上半身实体模型-1/颈部软胶-1;上半身实体模型-1/上半身实体模型(2)^上半身实体模型-1/Document-6^上半身实体模型(2)_上半身实体模型-1;上半身实体模型-1/上半身实体模型(2)^上半身实体模型-1/Document-5^上半身实体模型(2)_上半身实体模型-1;上半身实体模型-1/上半身实体模型(2)^上半身实体模型-1/前胸罩壳-1;上半身实体模型-1/上半身实体模型(2)^上半身实体模型-1/后颈贴片-1;上半身实体模型-1/上半身实体模型(2)^上半身实体模型-1/后壳-1;上半身实体模型-1/上半身实体模型(2)^上半身实体模型-1/前壳-1;上半身实体模型-1/上半身实体模型(2)^上半身实体模型-1/颈部罩壳-1;HEAD-1/D1型号关节V1-1-1;HEAD-1/RX-01-01-05 颈部支架-1;HEAD-1/RX-01-01-14 颈部限位块-1;HEAD-1/RX-01-01-14 颈部限位块-2;右肩固定-URDF-1/ZJRX-A-P-R-01-右臂-肩部固定法兰盘.step-1;右肩固定-URDF-1/B关节替换件-1,CHEST,Waist_Y,Waist_Y,revolute,0,0,0.0744,0,0,0,TORSO,0,1,0,0,0,-0.5236,0.7854,,,,,,,,
SCAPULA_L,-0.000402154054930659,0.070256420206888,-9.26935697239673E-05,0,0,0,1.1186852204855,0.00101092349304312,-3.37777180211232E-05,-2.13709451501253E-06,0.00117731995696335,-4.45172721289395E-06,0.00124017475562856,0,0,0,0,0,0,package://WA1_D11/meshes/SCAPULA_L.STL,0.341176470588235,1,0.768627450980392,1,0,0,0,0,0,0,package://WA1_D11/meshes/SCAPULA_L.STL,,左肩俯仰-URDF-1/ZJRX-A-P-L-02-左臂-肩俯仰结构件.step-1;左肩俯仰-URDF-1/B关节替换件-2,SCAPULA_L,Shoulder_Y_L,Shoulder_Y_L,revolute,0.0074317,0.16387,0.39,0,0,-0.5236,CHEST,0,1,0,57,3.56,-4.0143,1.2217,,,,,,,,
SHOULDER_L,0.0216395139763234,0.00137748925025916,-0.0364166257383316,0,0,0,0.241156466046865,0.000357897642631142,1.12966699618973E-05,-0.000118811012098059,0.000434344977692142,1.2881928343561E-05,0.000360605715106346,0,0,0,0,0,0,package://WA1_D11/meshes/SHOULDER_L.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://WA1_D11/meshes/SHOULDER_L.STL,,左肩滚转-URDF-1/ZJRX-A-P-L-03-左臂-肩滚动结构件-主体.step-1;左肩滚转-URDF-1/ZJRX-A-P-L-04-左臂-肩滚动结构件-随动件.step-1;左肩滚转-URDF-1/左臂-肩滚动结构件-盖板-1,SHOULDER_L,Shoulder_X_L,Shoulder_X_L,revolute,0,0.075202,0,-0.34907,0,0,SCAPULA_L,1,0,0,57,3.56,-0.034907,3.1067,,,,,,,,
UPPERARM_L,-0.000572816439984525,0.000196130163175989,-0.0734519774976232,0,0,0,1.68415100111022,0.00185775114871178,2.65644018216413E-08,-5.8425027889212E-06,0.00192677713326379,-3.88026229985866E-06,0.000957809090505571,0,0,0,0,0,0,package://WA1_D11/meshes/UPPERARM_L.STL,0.0431372549019608,1,0.909803921568627,1,0,0,0,0,0,0,package://WA1_D11/meshes/UPPERARM_L.STL,,大臂及肘-左-肩偏航URDF-1/大臂-左-URDF-1/ZJRX-A-P-L-05-左臂-大臂-主动端.step-1;大臂及肘-左-肩偏航URDF-1/大臂-左-URDF-1/大臂盖板-1;大臂及肘-左-肩偏航URDF-1/大臂-左-URDF-1/肘关节驱动替代版-1;大臂及肘-左-肩偏航URDF-1/大臂-左-URDF-1/肘关节散热块-镜像-1;大臂及肘-左-肩偏航URDF-1/大臂-左-URDF-1/2006散热风扇-2;大臂及肘-左-肩偏航URDF-1/大臂-左-URDF-1/ZJRX-A-P-L-06-左臂-大臂-随动端.step-1;大臂及肘-左-肩偏航URDF-1/大臂-左-URDF-1/ZJRX-A-P-T-01-肘关节轴承支承盘.step-1;大臂及肘-左-肩偏航URDF-1/大臂-左-URDF-1/E关节替换件-1;大臂及肘-左-肩偏航URDF-1/大臂-左-URDF-1/肘关节散热块-1;大臂及肘-左-肩偏航URDF-1/大臂-左-URDF-1/2006散热风扇-1;大臂及肘-左-肩偏航URDF-1/大臂-左-URDF-1/B关节替换件-1,UPPERARM_L,Shoulder_Z_L,Shoulder_Z_L,revolute,0,0,-0.0845,0,0,0,SHOULDER_L,0,0,1,57,3.56,-3.1067,3.1067,,,,,,,,
FOREARM_L,-0.00293799035788644,-0.00206226364504325,-0.0303456740248538,0,0,0,0.209965779714145,0.000243895291540085,-6.54766251221427E-07,-1.31402100580447E-06,0.000196417088658945,-5.48141102363982E-05,0.000233140028161589,0,0,0,0,0,0,package://WA1_D11/meshes/FOREARM_L.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://WA1_D11/meshes/FOREARM_L.STL,,大臂及肘-左-肘俯仰URDF-1/ZJRX-A-P-L-07-左臂-肘关节结构件-主体.step-1;大臂及肘-左-肘俯仰URDF-1/ZJRX-A-P-L-08-左臂-肘关节结构件-随动.step-1;大臂及肘-左-肘俯仰URDF-1/肘关节结构件-盖板-1,FOREARM_L,Elbow_L,Elbow_L,revolute,0,0,-0.1555,0,0,0,UPPERARM_L,0,1,0,31,3.665,-2.0944,0.034907,,,,,,,,
WRIST_REVOLUTE_L,5.77089438257017E-05,0.00171657201932746,-0.0687777914323817,0,0,0,1.45500721312125,0.00109707469435656,3.34142034286568E-07,1.49664692140929E-06,0.00112103498597079,5.54082797871439E-06,0.000950672394398641,0,0,0,0,0,0,package://WA1_D11/meshes/WRIST_REVOLUTE_L.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://WA1_D11/meshes/WRIST_REVOLUTE_L.STL,,left-wrist-yaw-1/ZJRX-A-P-T-02-小臂上结构件.step-1;left-wrist-yaw-1/ZJRX-A2-D11-T-03-腕关节轴承支承盘.step-1;left-wrist-yaw-1/D11关节替换件1.47.1六边-1;left-wrist-yaw-1/腕关节驱动组件替代版.step-1;left-wrist-yaw-1/ZJRX-A2-D11-L-09-左臂-小臂下结构件.step-1;left-wrist-yaw-1/左臂腕部皮套-1;left-wrist-yaw-1/C关节替换件-1,WRIST_REVOLUTE_L,Wrist_Z_L,Wrist_Z_L,revolute,0,0,-0.0685,0,0,0,FOREARM_L,0,0,1,25,3.665,-3.1067,3.1067,,,,,,,,
WRIST_UPDOWN_L,0.00354378972117797,0.000677158695453095,-0.0536799979589017,0,0,0,0.486926628198694,0.00026267328337643,1.52525137860047E-06,4.42505470602887E-06,0.000246119594075653,-3.04877860054421E-05,0.000199617667082886,0,0,0,0,0,0,package://WA1_D11/meshes/WRIST_UPDOWN_L.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://WA1_D11/meshes/WRIST_UPDOWN_L.STL,,left-wrist-pitch-1/ZJRX-A2-D11-L-10-左臂-腕俯仰结构件-主体.step-1;left-wrist-pitch-1/ZJRX-A2-D11-T-09-腕俯仰结构件-盖板 (1).step-1;left-wrist-pitch-1/ZJRX-A2-D11-T-03-腕关节轴承支承盘.step-1;left-wrist-pitch-1/ZJRX-A2-D11-T-04-腕俯仰结构件-随动.step-1;left-wrist-pitch-1/D11关节替换件1.47.1六边-1,WRIST_UPDOWN_L,Wrist_Y_L,Wrist_Y_L,revolute,0,0,-0.1385,0,0,0,WRIST_REVOLUTE_L,0,1,0,16,3.665,-1.5708,1.5708,,,,,,,,
